Vault_Number,Location,State,Experiment_Type,Starting_Population,Current_Status,Overseer,Survivor_Count,Year_Sealed,Radiation_Level,Water_Chip_Status,Power_Source,Fatality_Rate,Threat_Level,Vault_Size_SqFt,Food_Source,Medical_Facilities,Armory_Status,Notable_Residents,Notable_Events,Experiment_Category,Containment_Breach,Game_Appearance
Vault 3,Mojave Wasteland,Nevada,Control vault - opened early by mistake,300,Overrun by Fiends,Franklin,None,2077,Low,Functional,Nuclear,95%,High,45000,Hydroponic farms,Basic,Locked,None,Opened after only 20 years - quickly overrun by Fiends drug gang,Social,Yes,Fallout New Vegas
Vault 8,Vault City,Nevada,Control vault with GECK - establish surface community,500,Thriving - became Vault City,Joanne Lynette,~1000,2077,None,Functional,Nuclear,5%,Low,60000,Hydroponic farms,Advanced,Locked,Joanne Lynette,Used GECK to found Vault City - one of few success stories,Control,No,Fallout 2
Vault 11,Hidden Valley,Nevada,Annual resident sacrifice required to preserve the vault,500,Abandoned,Rotating annually,5,2077,Low,Non-functional,Nuclear,99%,Critical,55000,Hydroponic farms,Basic,Locked,None,Population killed themselves rather than continue sacrificing - 5 survivors left,Psychological,Yes,Fallout New Vegas
Vault 12,Necropolis,California,Vault door designed never to seal - mass radiation exposure,2000,Abandoned,Jacoren (deceased),Ghoul colony,2077,Extreme,Non-functional,Failed,100% human - ghoul colony remains,Critical,40000,None,None,Destroyed,Set,Entire population turned into ghouls - became Necropolis,Biological,Yes,Fallout 1
Vault 13,Arroyo region,California,Extended isolation - door not to open for 200 years,1000,Abandoned,Jacoren,Few survivors,2077,Low,Broken,Nuclear,60%,Medium,75000,Hydroponic farms,Advanced,Stocked,The Vault Dweller,Water chip failure forced early contact with outside world,Isolation,No,Fallout 1
Vault 15,Mojave Wasteland,California,Four ideologically incompatible groups housed together,1000,Abandoned,Unknown,Raiders/NCR splinter,2077,Low,Non-functional,Nuclear,70%,High,65000,Hydroponic farms,Basic,Raided,None,Vault opened early - residents split into Khans Vipers Jackals and Tunnel Snakes raiders,Social,Yes,Fallout 1 and 2
Vault 17,Mojave Wasteland,California,Unknown - raided by Master's Army,Unknown,Destroyed,Unknown (deceased),None - converted to super mutants,2077,Extreme,Destroyed,Failed,100%,Critical,50000,Unknown,Unknown,Raided,None,Raided by Master's Super Mutant Army - residents used for FEV experiments,Military,Yes,Fallout 1 (mentioned)
Vault 19,Mojave Wasteland,Nevada,Two groups - red and blue - kept separate and fed paranoia,400,Abandoned,Philip Lem,Powder Gangers,2077,Low,Non-functional,Nuclear,80%,High,55000,Hydroponic farms,Basic,Raided,Philip Lem,Paranoia experiment led to violence - survivors became Powder Gangers,Psychological,Yes,Fallout New Vegas
Vault 21,Las Vegas,Nevada,All conflicts resolved exclusively by gambling,23,Open - converted to hotel,Sarah,Intact population,2077,None,Functional,Nuclear,10%,Low,30000,Catered,Full,Locked,Mr. House - Sarah,Mr. House won the vault in a bet and sealed it - now a hotel on the Strip,Social,No,Fallout New Vegas
Vault 22,Mojave Wasteland,Nevada,Plant growth experiments using spore-producing fungi,500,Overrun,Unknown (deceased),None - spore carriers,2077,Low,Destroyed,Nuclear,100%,Critical,55000,Experimental fungi,None,Destroyed,None,Fungal spores mutated and took over residents - entire population became spore carriers,Biological,Yes,Fallout New Vegas
Vault 24,Colorado,Colorado,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Briefly mentioned in Fallout 76 - details unknown,Unknown,Unknown,Fallout 76 (mentioned)
Vault 25,Unknown,Unknown,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Referenced in lore documents only,Unknown,Unknown,Fallout lore
Vault 26,Unknown,Unknown,Unknown experiment,Unknown,Unknown,Unknown,Unknown,2077,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None,Referenced in lore documents only,Unknown,Unknown,Fallout lore
Vault 27,Unknown,Unknown,Overcrowded - double the sustainable population,2000,Unknown,Unknown,Unknown,2077,Low,Unknown,Nuclear,Unknown,High,55000,Strained hydroponic,Overwhelmed,Unknown,None,Massive overcrowding intended to study resource conflict and social breakdown,Social,Unknown,Fallout lore
