Date,DateKey,Year,Year Quarter,Year Quarter Number,Quarter,Year Month,Year Month Short,Year Month Number,Month,Month Short,Month Number,Day of Week,Day of Week Short,Day of Week Number,Working Day,Working Day Number
2017-01-01,20170101,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Sunday,Sun,1,0,0
2017-01-02,20170102,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Monday,Mon,2,0,0
2017-01-03,20170103,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Tuesday,Tue,3,1,1
2017-01-04,20170104,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Wednesday,Wed,4,1,2
2017-01-05,20170105,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Thursday,Thu,5,1,3
2017-01-06,20170106,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Friday,Fri,6,1,4
2017-01-07,20170107,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Saturday,Sat,7,0,4
2017-01-08,20170108,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Sunday,Sun,1,0,4
2017-01-09,20170109,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Monday,Mon,2,1,5
2017-01-10,20170110,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Tuesday,Tue,3,1,6
2017-01-11,20170111,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Wednesday,Wed,4,1,7
2017-01-12,20170112,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Thursday,Thu,5,1,8
2017-01-13,20170113,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Friday,Fri,6,1,9
2017-01-14,20170114,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Saturday,Sat,7,0,9
2017-01-15,20170115,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Sunday,Sun,1,0,9
2017-01-16,20170116,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Monday,Mon,2,0,9
2017-01-17,20170117,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Tuesday,Tue,3,1,10
2017-01-18,20170118,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Wednesday,Wed,4,1,11
2017-01-19,20170119,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Thursday,Thu,5,1,12
2017-01-20,20170120,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Friday,Fri,6,1,13
2017-01-21,20170121,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Saturday,Sat,7,0,13
2017-01-22,20170122,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Sunday,Sun,1,0,13
2017-01-23,20170123,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Monday,Mon,2,1,14
2017-01-24,20170124,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Tuesday,Tue,3,1,15
2017-01-25,20170125,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Wednesday,Wed,4,1,16
2017-01-26,20170126,2017,Q1-2017,8069,Q1,January 2017,Jan 2017,24205,January,Jan,1,Thursday,Thu,5,1,17
